ID,ST,EN,FFTT,MINHW,CONVTT
1,7,18,720,1, 2.1 
2,10,15,2160,27, 16.4 
3,3,4,1440,7, 4.8 
4,1,3,1440,2, 4.0 
5,1,2,2160,2, 6.0 
6,3,12,1440,2, 4.1 
7,12,13,1080,1, 3.1 
8,18,20,1440,2, 4.5 
9,10,11,1800,75, 15.0 
10,16,18,1080,3, 3.3 
11,15,19,1080,10, 4.4 
12,10,17,2880,1930, 19.1 
13,8,9,3600,2306, 20.9 
14,4,11,2160,1550, 10.2 
15,5,9,1800,75, 13.6 
16,9,10,1080,12, 6.5 
17,15,22,1080,53, 9.8 
18,11,12,2160,1550, 14.1 
19,4,5,720,3, 2.6 
20,13,24,1440,893, 21.9 
21,24,21,1080,790, 12.6 
22,20,21,2160,1373, 10.3 
23,2,6,1800,1241, 7.7 
24,6,8,720,521, 20.4 
25,7,8,1080,119, 7.7 
26,5,6,1440,1001, 10.0 
27,23,24,720,451, 4.2 
28,21,22,720,401, 4.7 
29,14,23,1440,1020, 9.3 
30,22,23,1440,960, 14.8 
31,14,15,1800,1065, 16.3 
32,16,17,720,401, 9.5 
33,17,19,720,554, 7.5 
34,19,20,1440,958, 11.5 
35,11,14,1440,1061, 17.4 
36,20,22,1800,1130, 10.1 
37,8,16,1800,1157, 12.6 
38,10,16,1440,1080, 24.9 
39,18,7,720,1, 2.1 
40,15,10,2160,27, 16.7 
41,4,3,1440,7, 4.8 
42,3,1,1440,2, 4.0 
43,2,1,2160,2, 6.0 
44,12,3,1440,2, 4.1 
45,13,12,1080,1, 3.1 
46,20,18,1440,2, 4.5 
47,11,10,1800,75, 14.8 
48,18,16,1080,3, 3.3 
49,19,15,1080,10, 4.5 
50,17,10,2880,1930, 19.1 
51,9,8,3600,2306, 20.4 
52,11,4,2160,1550, 10.4 
53,9,5,1800,75, 13.6 
54,10,9,1080,12, 6.9 
55,22,15,1080,53, 9.8 
56,12,11,2160,1550, 15.7 
57,5,4,720,3, 2.6 
58,24,13,1440,893, 22.5 
59,21,24,1080,790, 13.7 
60,21,20,2160,1373, 10.6 
61,6,2,1800,1241, 7.5 
62,8,6,720,521, 17.8 
63,8,7,1080,119, 7.7 
64,6,5,1440,1001, 10.6 
65,24,23,720,451, 4.4 
66,22,21,720,401, 5.3 
67,23,14,1440,1020, 9.3 
68,23,22,1440,960, 15.7 
69,15,14,1800,1065, 15.4 
70,17,16,720,401, 9.8 
71,19,17,720,554, 7.5 
72,20,19,1440,958, 11.5 
73,14,11,1440,1061, 16.4 
74,22,20,1800,1130, 9.6 
75,16,8,1800,1157, 12.6 
76,16,10,1440,1080, 24.9 
