"V1","V2","V3"
1,1,500
1,2,2160
1,3,1440
1,4,2880
1,5,3600
1,6,3960
1,7,5760
1,8,4680
1,9,5400
1,10,6840
1,11,5040
1,12,2880
1,13,3960
1,14,6480
1,15,9000
1,16,6480
1,17,7200
1,18,6480
1,19,7920
1,20,7920
1,21,6480
1,22,7200
1,23,6120
1,24,5400
2,1,2160
2,2,500
2,3,3600
2,4,3960
2,5,3240
2,6,1800
2,7,3600
2,8,2520
2,9,5040
2,10,5760
2,11,6120
2,12,5040
2,13,6120
2,14,7560
2,15,7920
2,16,4320
2,17,5040
2,18,4320
2,19,5760
2,20,5760
2,21,7920
2,22,7560
2,23,8280
2,24,7560
3,1,1440
3,2,3600
3,3,500
3,4,1440
3,5,2160
3,6,3600
3,7,5400
3,8,4320
3,9,3960
3,10,5400
3,11,3600
3,12,1440
3,13,2520
3,14,5040
3,15,7560
3,16,6840
3,17,8280
3,18,7920
3,19,8640
3,20,7200
3,21,5040
3,22,5760
3,23,4680
3,24,3960
4,1,2880
4,2,3960
4,3,1440
4,4,500
4,5,720
4,6,2160
4,7,3960
4,8,2880
4,9,2520
4,10,3960
4,11,2160
4,12,2880
4,13,3960
4,14,3600
4,15,5400
4,16,5400
4,17,6840
4,18,6480
4,19,6480
4,20,8640
4,21,6480
4,22,7200
4,23,5040
4,24,5400
5,1,3600
5,2,3240
5,3,2160
5,4,720
5,5,500
5,6,1440
5,7,3240
5,8,2160
5,9,1800
5,10,2880
5,11,2880
5,12,3600
5,13,4680
5,14,4320
5,15,5040
5,16,3960
5,17,5760
5,18,3960
5,19,6120
5,20,5400
5,21,6840
5,22,6120
5,23,5760
5,24,6120
6,1,3960
6,2,1800
6,3,3600
6,4,2160
6,5,1440
6,6,500
6,7,1800
6,8,720
6,9,3240
6,10,3960
6,11,4320
6,12,5040
6,13,6120
6,14,5760
6,15,6120
6,16,2520
6,17,3240
6,18,2520
6,19,3960
6,20,3960
6,21,6120
6,22,5760
6,23,7200
6,24,7200
7,1,5760
7,2,3600
7,3,5400
7,4,3960
7,5,3240
7,6,1800
7,7,500
7,8,1080
7,9,4680
7,10,3240
7,11,5040
7,12,7200
7,13,6840
7,14,7560
7,15,4680
7,16,1800
7,17,2520
7,18,720
7,19,3600
7,20,2160
7,21,4320
7,22,3960
7,23,5400
7,24,5400
8,1,4680
8,2,2520
8,3,4320
8,4,2880
8,5,2160
8,6,720
8,7,1080
8,8,500
8,9,3600
8,10,3240
8,11,5040
8,12,7200
8,13,8280
8,14,6480
8,15,5400
8,16,1800
8,17,2520
8,18,1800
8,19,3240
8,20,3240
8,21,5400
8,22,5040
8,23,6480
8,24,6480
9,1,5400
9,2,5040
9,3,3960
9,4,2520
9,5,1800
9,6,3240
9,7,4680
9,8,3600
9,9,500
9,10,1080
9,11,2880
9,12,5040
9,13,6120
9,14,4320
9,15,3240
9,16,2520
9,17,3960
9,18,3600
9,19,4320
9,20,5040
9,21,5040
9,22,4320
9,23,5760
9,24,6120
10,1,6840
10,2,5760
10,3,5400
10,4,3960
10,5,2880
10,6,3960
10,7,3240
10,8,3240
10,9,1080
10,10,500
10,11,1800
10,12,3960
10,13,5040
10,14,3240
10,15,2160
10,16,1440
10,17,2880
10,18,2520
10,19,3240
10,20,3960
10,21,3960
10,22,3240
10,23,4680
10,24,5040
11,1,5040
11,2,6120
11,3,3600
11,4,2160
11,5,2880
11,6,4320
11,7,5040
11,8,5040
11,9,2880
11,10,1800
11,11,500
11,12,2160
11,13,3240
11,14,1440
11,15,3240
11,16,3240
11,17,4680
11,18,4320
11,19,4320
11,20,5760
11,21,4680
11,22,5040
11,23,2880
11,24,3600
12,1,2880
12,2,5040
12,3,1440
12,4,2880
12,5,3600
12,6,5040
12,7,7200
12,8,7200
12,9,5040
12,10,3960
12,11,2160
12,12,500
12,13,1080
12,14,3600
12,15,5400
12,16,5400
12,17,6840
12,18,6480
12,19,6480
12,20,5760
12,21,3600
12,22,4320
12,23,3240
12,24,2520
13,1,3960
13,2,6120
13,3,2520
13,4,3960
13,5,4680
13,6,6120
13,7,6840
13,8,8280
13,9,6120
13,10,5040
13,11,3240
13,12,1080
13,13,500
13,14,3600
13,15,4320
13,16,6480
13,17,7920
13,18,6120
13,19,6120
13,20,4680
13,21,2520
13,22,3240
13,23,2160
13,24,1440
14,1,6480
14,2,7560
14,3,5040
14,4,3600
14,5,4320
14,6,5760
14,7,6480
14,8,6480
14,9,4320
14,10,3240
14,11,1440
14,12,3600
14,13,3600
14,14,500
14,15,1800
14,16,4680
14,17,3600
14,18,5760
14,19,2880
14,20,4320
14,21,3240
14,22,2880
14,23,1440
14,24,2160
15,1,8280
15,2,7920
15,3,6840
15,4,5400
15,5,5040
15,6,6120
15,7,4680
15,8,5400
15,9,3240
15,10,2160
15,11,3240
15,12,5400
15,13,4320
15,14,1800
15,15,500
15,16,3600
15,17,1800
15,18,3960
15,19,1080
15,20,2520
15,21,1800
15,22,1080
15,23,2520
15,24,2880
16,1,6480
16,2,4320
16,3,6840
16,4,5400
16,5,3960
16,6,2520
16,7,1800
16,8,1800
16,9,2520
16,10,1440
16,11,3240
16,12,5400
16,13,6480
16,14,4680
16,15,3600
16,16,500
16,17,720
16,18,1080
16,19,1440
16,20,2520
16,21,4680
16,22,4320
16,23,5760
16,24,5760
17,1,7200
17,2,5040
17,3,8280
17,4,6840
17,5,5760
17,6,3240
17,7,2520
17,8,2520
17,9,3960
17,10,2880
17,11,4680
17,12,6840
17,13,7920
17,14,3600
17,15,1800
17,16,720
17,17,500
17,18,1800
17,19,720
17,20,2160
17,21,4320
17,22,2880
17,23,4320
17,24,5400
18,1,6480
18,2,4320
18,3,7920
18,4,6480
18,5,3960
18,6,2520
18,7,720
18,8,1800
18,9,3600
18,10,2520
18,11,4320
18,12,6480
18,13,6120
18,14,5760
18,15,3960
18,16,1080
18,17,1800
18,18,500
18,19,2880
18,20,1440
18,21,3600
18,22,3240
18,23,4680
18,24,4680
19,1,7920
19,2,5760
19,3,9000
19,4,6480
19,5,6120
19,6,3960
19,7,3600
19,8,3240
19,9,4320
19,10,3240
19,11,4320
19,12,6480
19,13,6120
19,14,2880
19,15,1080
19,16,1440
19,17,720
19,18,2880
19,19,500
19,20,1440
19,21,3600
19,22,2160
19,23,3600
19,24,4680
20,1,7920
20,2,5760
20,3,7200
20,4,9000
20,5,5400
20,6,3960
20,7,2160
20,8,3240
20,9,5040
20,10,3960
20,11,6480
20,12,5760
20,13,4680
20,14,4320
20,15,2520
20,16,2520
20,17,2160
20,18,1440
20,19,1440
20,20,500
20,21,2160
20,22,1800
20,23,3240
20,24,3240
21,1,6480
21,2,7920
21,3,5040
21,4,6480
21,5,6840
21,6,6120
21,7,4320
21,8,5400
21,9,5040
21,10,3960
21,11,4680
21,12,3600
21,13,2520
21,14,3240
21,15,1800
21,16,4680
21,17,4320
21,18,3600
21,19,3600
21,20,2160
21,21,500
21,22,720
21,23,1800
21,24,1080
22,1,7200
22,2,7560
22,3,5760
22,4,7200
22,5,6120
22,6,5760
22,7,3960
22,8,5040
22,9,4320
22,10,3240
22,11,4320
22,12,4320
22,13,3240
22,14,2880
22,15,1080
22,16,4320
22,17,2880
22,18,3240
22,19,2160
22,20,1800
22,21,720
22,22,500
22,23,1440
22,24,1800
23,1,6120
23,2,8280
23,3,4680
23,4,5040
23,5,5760
23,6,7200
23,7,5400
23,8,6480
23,9,6480
23,10,4680
23,11,2880
23,12,3240
23,13,2160
23,14,1440
23,15,2520
23,16,5760
23,17,4320
23,18,4680
23,19,3600
23,20,3240
23,21,1800
23,22,1440
23,23,500
23,24,720
24,1,5400
24,2,7560
24,3,3960
24,4,5400
24,5,6120
24,6,7200
24,7,5400
24,8,6480
24,9,6120
24,10,5040
24,11,3600
24,12,2520
24,13,1440
24,14,2160
24,15,2880
24,16,5760
24,17,5400
24,18,4680
24,19,4680
24,20,3240
24,21,1080
24,22,1800
24,23,720
24,24,500
